area,vericert,list,hyper,bambu,opt
2mm,1476,989,1511,1581,974
3mm,1534,1080,1642,1917,1064
adi,3533,1963,3274,1398,1637
atas,479,427,585,642,287
bicg,800,655,1068,769,294
cholesky,1336,865,1348,1181,977
covariance,568,558,634,724,510
doitgen,773,623,918,999,634
durbin,636,594,884,477,651
fdtd-2d,975,846,992,1349,705
floyd-warshall,816,703,1490,622,415
gemm,928,779,1115,1053,700
gemver,826,714,1021,1134,443
gesummv,826,724,1064,716,286
heat-3d,983,679,756,1034,598
jacobi-1d,382,314,409,313,133
jacobi-2d,683,527,708,604,471
lu,1287,814,1312,1318,933
ludcmp,1935,1163,1985,1719,1741
mvt,1428,956,1578,849,442
nussinov,648,647,933,724,449
seidel-2d,503,403,464,582,396
symm,971,864,1242,1085,594
syr2k,907,786,1207,947,707
syrk,665,599,848,838,609
trisolv,345,300,465,334,314
trmm,657,620,810,762,496
median,826,703,1021,849,594
