Cycles,Vericert,List,Hyper,Bambu,Opt
2mm,467611,212625,195617,177242,67992
3mm,604581,304734,287451,224309,102818
adi,1831461,677785,662589,564373,183919
atas,101618,60530,58150,50860,16947
bicg,130790,77513,65935,63024,18404
cholesky,2575069,958249,887227,673392,317584
covariance,340794,217601,202425,179708,75091
doitgen,386782,174109,155764,136692,58910
durbin,23832,21349,18813,19021,7492
fdtd-2d,958411,559995,507639,421291,100760
floyd-warshall,5414365,3313731,2872224,2003066,763578
gemm,406774,247250,235813,271845,79422
gemver,193047,111121,98211,101335,26478
gesummv,116556,63778,51798,57506,15556
heat-3d,592770,149469,142988,128208,30377
jacobi-1d,19996,16154,14649,16535,2442
jacobi-2d,397199,202487,184117,170863,52526
lu,2893146,1093347,1019305,771511,360842
ludcmp,2641694,1022658,945433,768213,362026
mvt,148873,79718,68200,71534,18478
nussinov,956490,626831,596378,347862,130185
seidel-2d,942337,377683,293599,301671,146453
symm,279831,154224,156783,115414,32032
syr2k,525907,246426,233642,198579,67962
syrk,338285,178992,165459,176575,54428
trisolv,36049,19916,17689,17008,7802
trmm,165828,93279,92319,80968,28362
median,397199,202487,184117,176575,58910
