speed,vericert,list,hyper,bambu,opt
2mm,4448.383443,2053.107,1887.312816,1121.764618,571.540752
3mm,5782.212684,2937.331026,2773.327248,1430.194184,884.131982
adi,18102.16052,6720.91606,6392.658672,4379.53448,1741.345092
atas,964.659674,583.38814,561.0312,481.03388,127.356705
bicg,1224.32519,745.132469,636.14088,614.105856,129.582564
cholesky,24566.15826,9860.38221,8559.966096,6627.524064,3007.52048
covariance,3169.043406,2095.49763,1952.9964,1129.285072,607.48619
doitgen,3563.035784,1661.522187,1502.811072,1285.998336,464.03407
durbin,223.996968,205.676266,181.507824,179.615303,72.058056
fdtd-2d,8954.433973,5385.471915,4897.701072,4239.030042,895.85716
floyd-warshall,50012.48951,30930.36515,27711.21715,13174.16508,5950.563354
gemm,3874.115576,2359.2595,2275.123824,2619.49842,648.718896
gemver,1847.073696,1068.428415,947.539728,981.024135,221.991552
gesummv,1115.207808,608.187008,499.747104,536.070932,118.038928
heat-3d,5706.59679,1426.980543,1379.548224,736.811376,256.260372
jacobi-1d,178.86422,146.51678,141.333552,81.6829,18.500592
jacobi-2d,3653.833601,1914.919559,1776.360816,975.969456,436.438534
lu,27730.80441,10594.53243,9834.25464,7339.384143,3455.06215
ludcmp,25901.80967,9856.377804,9121.537584,7473.944277,3527.94337
mvt,1400.746057,762.90126,657.9936,420.405318,142.114298
nussinov,9019.7007,5973.69943,5753.854944,3313.037688,1202.9094
seidel-2d,8621.441213,3590.254598,2832.643152,1598.8563,1233.280713
symm,2691.97422,1506.76848,1512.642384,1109.12854,239.59936
syr2k,5064.48441,2386.63581,2254.178016,1901.393925,539.550318
syrk,3214.38407,1708.299648,1596.348432,1678.698525,482.613076
trisolv,330.749575,186.194684,170.663472,100.568304,62.283366
trmm,1531.919064,885.497547,890.693712,778.993128,254.40714
median,3653.833601,1914.919559,1776.360816,1129.285072,482.613076
